
2024/06/05 (17:51:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (17:51:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (17:52:54) | ===> btop++ v.1.3.2
2024/06/05 (17:52:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (17:52:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (17:52:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (17:52:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (17:52:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (17:52:58) | ===> btop++ v.1.3.2
2024/06/05 (17:52:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (17:52:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (17:52:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (17:52:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (17:52:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (17:53:01) | ===> btop++ v.1.3.2
2024/06/05 (17:53:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (17:53:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (17:53:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (17:53:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (17:53:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (17:54:37) | ===> btop++ v.1.3.2
